以下是1000位互联网人物的谐音、外号、叫错、打错字、识别错误整理。格式为：**序号/主播名字/(谐音 外号 叫错 打错字 识别错误)**。因数量庞大，每条列出2-4个常见变体。

---

1/疯狂小杨哥/(小羊哥 小杨哥 小杨哥儿 疯狂小杨)
2/陈翔六点半/(陈翔六点 陈翔6:30 陈翔六点半组合)
78/汤姆·克鲁斯/(外号“阿汤哥”、港译“汤·告鲁斯”)
79/汤姆·汉克斯/(港译“汤·汉斯”)
80/小罗伯特·唐尼/(港译“罗拔·唐尼”)
81/斯嘉丽·约翰逊/(台译“史嘉蕾·乔韩森”)
82/艾梅伯·希尔德/(被评价为最离谱的中文译名错误之一)
83/秀兰·邓波儿/(长期译名错误，Shirley正确发音应为“雪莉”)
84/奥黛丽·赫本/(港译“柯德莉夏萍”与国语译名差异巨大)
85/杰昆·菲尼克斯/(被叫错“乔昆”，另一译名“华金”)
86/马修·麦康纳/(中文译名漏掉一个音节，持续二十余年)
87/克里斯·普瑞特/(因“克里斯”太多被叫成“美国队长”)
88/Lady Gaga/(外号“鳖鳖”)
89/凯特·温斯莱特/(外号“肥温”)
90/乔纳森·格罗夫/(外号“甜乔”)
91/贾斯汀·汀布莱克/(外号“贾老板”)
92/埃德·希兰/(外号“黄老板”)
93/特洛耶·希文/(外号“戳爷”)
94/蒂尔达·斯文顿/(外号“女王”)
以下按序号混合排列，不另分类：

1/李白/(谐音：理白、里白；外号：诗仙、李太白、青莲居士、谪仙人、李十二；叫错/打错/识别错误：李百、李柏、李泊)
2/杜甫/(谐音：都甫；外号：诗圣、杜子美、少陵野老、杜工部、杜拾遗；错：杜浦、杜普、杜府)
3/白居易/(谐音：百居易；外号：诗魔、诗王、香山居士、醉吟先生、白乐天；错：白居义、白局易)
4/王维/(谐音：亡维；外号：诗佛、摩诘、王右丞；错：王惟、王纬)
5/孟浩然/(谐音：梦浩然；外号：孟襄阳、孟山人；错：孟浩燃、孟皓然)
6/李商隐/(谐音：里商隐；外号：玉溪生、樊南生、小李；错：李商影、李商尹)
7/杜牧/(谐音：度牧；外号：杜樊川、小杜、杜紫微；错：杜木、杜穆)
8/王勃/(谐音：亡勃；外号：王子安、初唐四杰；错：王博、王薄)
9/骆宾王/(谐音：落宾王；外号：骆观光；错：骆兵王、洛宾王)
10/卢照邻/(谐音：炉照邻；外号：幽忧子；错：卢照林、芦照邻)
11/杨炯/(谐音：阳炯；外号：杨盈川；错：杨窘、杨炯炯)
12/陈子昂/(谐音：陈子昂；外号：陈伯玉、射洪；错：陈子卯、陈子昂)
13/贺知章/(谐音：赫知章；外号：四明狂客、贺监、秘书外监；错：贺之章、贺知彰)
14/张若虚/(谐音：章若虚；外号：吴中四士；错：张若需、张弱虚)
15/刘禹锡/(谐音：留禹锡；外号：诗豪、刘宾客、陋室主人；错：刘雨锡、刘宇锡)
16/柳宗元/(谐音：流宗元；外号：柳河东、柳柳州；错：柳宗源、柳宗园)
17/韩愈/(谐音：含愈；外号：韩昌黎、韩文公、昌黎先生；错：韩俞、韩渝)
18/柳永/(谐音：流永；外号：柳三变、柳屯田、白衣卿相；错：柳勇、柳咏)
19/范仲淹/(谐音：饭仲淹；外号：范文正、范履霜；错：范仲俺、范中淹)
20/欧阳修/(谐音：欧阳光；外号：醉翁、六一居士、欧阳文忠；错：欧阳休、欧杨修)
21/王安石/(谐音：亡安石；外号：临川先生、王荆公、半山；错：王山石、王安时)
22/苏洵/(谐音：苏寻；外号：苏老泉、老苏；错：苏询、苏荀)
23/苏轼/(谐音：苏是；外号：苏东坡、苏子瞻、东坡居士、铁冠道人；错：苏试、苏拭、苏适)
24/苏辙/(谐音：苏折；外号：苏子由、小苏；错：苏撤、苏哲)
25/黄庭坚/(谐音：皇庭坚；外号：山谷道人、黄山谷、豫章先生；错：黄廷坚、黄庭建)
26/秦观/(谐音：勤观；外号：秦少游、淮海居士、山抹微云君；错：秦关、秦冠)
27/周邦彦/(谐音：周邦言；外号：清真居士、周美成；错：周邦颜、周帮彦)
28/李清照/(谐音：里清照；外号：易安居士、李易安、千古第一才女；错：李清昭、李青照、李请照)
29/辛弃疾/(谐音：心弃疾；外号：稼轩、辛稼轩、词中之龙；错：辛弃急、辛弃嫉、辛齐疾)
30/陆游/(谐音：路游；外号：放翁、陆放翁、剑南诗翁；错：陆尤、陆由)
31/岳飞/(谐音：月飞；外号：鹏举、岳武穆、精忠报国；错：岳飞、越飞)
32/文天祥/(谐音：闻天祥；外号：文文山、宋瑞；错：文天详、文天翔)
33/唐寅/(谐音：糖寅；外号：唐伯虎、六如居士、桃花庵主；错：唐演、唐银)
34/祝允明/(谐音：住允明；外号：祝枝山、枝指生；错：祝永明、祝云明)
35/文徵明/(谐音：闻征明；外号：文衡山、停云生；错：文征明、文微明)
36/徐渭/(谐音：许渭；外号：徐文长、青藤老人、青藤道士；错：徐谓、徐伟)
37/郑燮/(谐音：正燮；外号：郑板桥、板桥道人；错：郑变、郑谢)
38/龚自珍/(谐音：工自珍；外号：龚定庵、龚定盦；错：龚自真、龚自诊)
39/曹雪芹/(谐音：草雪芹；外号：曹梦阮、雪芹、芹圃、芹溪；错：曹雪琴、曹雪勤、曹学芹)
40/罗贯中/(谐音：罗罐中；外号：罗本、湖海散人；错：罗冠中、罗贯忠、罗灌中)
41/施耐庵/(谐音：是耐庵；外号：施子安、耐庵；错：施耐安、施奈庵、施乃庵)
42/吴承恩/(谐音：无承恩；外号：吴汝忠、射阳山人；错：吴成恩、吴承思、吴成思)
43/蒲松龄/(谐音：普松龄；外号：聊斋先生、柳泉居士；错：蒲松林、蒲松凌、蒲松岭)
44/吴敬梓/(谐音：无敬梓；外号：吴敏轩、文木老人；错：吴敬子、吴敬样)
45/孔尚任/(谐音：恐尚任；外号：孔聘之、东塘；错：孔尚仁、孔上任)
46/洪昇/(谐音：红升；外号：洪昉思、稗畦；错：洪升、洪胜、洪声)
47/汤显祖/(谐音：烫显祖；外号：汤义仍、玉茗堂主人；错：汤显组、汤显宗)
48/关汉卿/(谐音：观汉卿；外号：己斋叟、关已斋；错：关汉清、关翰卿、关汉青)
49/王实甫/(谐音：亡实甫；外号：王德信、实甫；错：王实浦、王实普)
50/马致远/(谐音：马至远；外号：东篱、马东篱；错：马志远、马致元)
51/张养浩/(谐音：章养浩；外号：云庄、张文忠；错：张洋浩、张养号)
52/白朴/(谐音：百朴；外号：白仁甫、兰谷；错：白仆、白璞)
53/董解元/(谐音：懂解元；外号：董解元；错：董解圆、董姐元)
54/王冕/(谐音：亡冕；外号：王元章、煮石山农；错：王免、王勉)
55/刘基/(谐音：留基；外号：刘伯温、诚意伯、郁离子；错：刘机、刘姬)
56/宋濂/(谐音：送濂；外号：宋景濂、潜溪；错：宋廉、宋连)
57/方孝孺/(谐音：方孝如；外号：方希直、正学先生；错：方孝儒、方孝如)
58/于谦/(谐音：鱼谦；外号：于廷益、节庵、于少保；错：于歉、余谦)
59/王阳明/(谐音：亡阳明；外号：王守仁、阳明先生、新建伯；错：王杨明、王阳名)
60/杨慎/(谐音：阳慎；外号：杨升庵、杨用修；错：杨甚、杨镇)
61/徐霞客/(谐音：许霞客；外号：徐弘祖、霞客；错：徐霞克、徐侠客)
62/宋应星/(谐音：送应星；外号：宋长庚、天工开物；错：宋应兴、宋应新)
63/李时珍/(谐音：里时珍；外号：李东璧、濒湖山人；错：李时真、李十珍)
64/徐光启/(谐音：许光启；外号：徐子先、玄扈；错：徐光起、徐光奇)
65/顾炎武/(谐音：故炎武；外号：顾亭林、亭林先生；错：顾言武、顾严武)
66/黄宗羲/(谐音：皇宗羲；外号：黄梨洲、南雷先生；错：黄宗曦、黄宗熙)
67/王夫之/(谐音：亡夫之；外号：王船山、姜斋；错：王夫子、王富之)
68/纳兰性德/(谐音：那兰性德；外号：纳兰容若、饮水词人、楞伽山人；错：纳兰性得、纳兰兴德)
69/袁枚/(谐音：元枚；外号：袁子才、随园主人、简斋；错：袁梅、袁牧)
70/纪昀/(谐音：记云；外号：纪晓岚、观弈道人、石云；错：纪匀、纪云、纪韵)
71/刘墉/(谐音：留墉；外号：刘石庵、刘罗锅；错：刘庸、刘镛、刘雍)
72/曾国藩/(谐音：增国藩；外号：曾文正、涤生、曾剃头；错：曾国藩、曾凡)
73/左宗棠/(谐音：佐宗棠；外号：左季高、湘上农人；错：左宗堂、左中棠)
74/李鸿章/(谐音：里鸿章；外号：李少荃、李中堂、合肥；错：李鸿张、李红章)
75/张之洞/(谐音：章之洞；外号：张香涛、张南皮；错：张芝洞、张之东)
76/林则徐/(谐音：临则徐；外号：林元抚、少穆、林文忠；错：林则许、林泽徐)
77/康有为/(谐音：抗有为；外号：康广厦、南海先生；错：康有维、康有伟)
78/梁启超/(谐音：凉启超；外号：梁任公、饮冰室主人；错：梁启起、梁启招)
79/王国维/(谐音：亡国维；外号：王静安、观堂、人间词话；错：王国伟、王国维)
80/秦始皇/(谐音：应政；外号：嬴政、赵政、祖龙；错：赢政、嬴正)
81/秦二世/(谐音：狐亥；外号：胡亥；错：胡骇、胡害)
82/汉高祖/(谐音：留邦；外号：刘邦、刘季、沛公；错：刘帮、刘邦)
83/汉武帝/(谐音：留彻；外号：刘彻、汉武、孝武；错：刘撤、刘澈)
84/汉光武帝/(谐音：留秀；外号：刘秀、文叔；错：刘绣、刘修)
85/魏文帝/(谐音：草丕；外号：曹丕、子桓；错：曹批、曹胚)
86/晋武帝/(谐音：思马炎；外号：司马炎、安世；错：司马严、司马言)
87/隋文帝/(谐音：阳坚；外号：杨坚、那罗延；错：杨建、杨健)
88/隋炀帝/(谐音：阳广；外号：杨广、杨英；错：杨光、杨广)
89/唐高祖/(谐音：里渊；外号：李渊、叔德；错：李源、李元)
90/唐太宗/(谐音：里世民；外号：李世民、天可汗、秦王；错：李市民、李士民)
91/唐玄宗/(谐音：里隆基；外号：李隆基、唐明皇、三郎；错：李龙基、李隆机)
92/武则天/(谐音：五则天；外号：武曌、则天大圣皇帝、媚娘；错：武照、武瞾)
93/宋太祖/(谐音：照匡胤；外号：赵匡胤、香孩儿；错：赵匡印、赵框胤)
94/宋太宗/(谐音：照光义；外号：赵光义、赵炅；错：赵广义、赵光意)
95/宋徽宗/(谐音：照佶；外号：赵佶、道君皇帝、瘦金体；错：赵洁、赵吉)
96/宋高宗/(谐音：照构；外号：赵构、德基；错：赵购、赵沟)
97/元世祖/(谐音：呼必烈；外号：忽必烈、薛禅汗；错：忽比烈、忽必列)
98/明太祖/(谐音：朱圆章；外号：朱元璋、洪武帝、朱重八；错：朱无璋、朱员璋)
99/明成祖/(谐音：朱地；外号：朱棣、永乐帝；错：朱迪、朱弟)
100/明神宗/(谐音：朱义钧；外号：朱翊钧、万历；错：朱翊均、朱羽钧)
101/清太祖/(谐音：努尔哈吃；外号：努尔哈赤、佟努尔哈赤；错：努尔哈次、奴尔哈赤)
102/清太宗/(谐音：黄太极；外号：皇太极、洪太吉；错：黄太极、皇太级)
103/清圣祖/(谐音：悬烨；外号：玄烨、康熙；错：玄晔、玄华)
104/清世宗/(谐音：印禛；外号：胤禛、雍正；错：胤祯、允禛)
105/清高宗/(谐音：红历；外号：弘历、乾隆；错：宏历、洪历)
106/清德宗/(谐音：在甜；外号：载湉、光绪；错：载恬、载甜)
107/管仲/(谐音：管种；外号：夷吾、管子；错：管中、管重)
108/乐毅/(谐音：月毅；外号：乐生；错：乐义、乐艺)
109/商鞅/(谐音：伤鞅；外号：卫鞅、公孙鞅；错：商殃、商央)
110/李斯/(谐音：里斯；外号：通古；错：李思、李司)
111/萧何/(谐音：消何；外号：酂侯；错：肖何、萧河)
112/张良/(谐音：章良；外号：子房、留侯；错：张梁、张凉)
113/韩信/(谐音：含信；外号：淮阴侯、兵仙；错：韩性、韩欣)
114/陈平/(谐音：沉平；外号：曲逆侯；错：陈萍、陈瓶)
115/贾谊/(谐音：假谊；外号：贾生、贾长沙；错：贾宜、贾义)
116/晁错/(谐音：潮错；外号：晁大夫；错：朝错、晁措)
117/董仲舒/(谐音：懂仲舒；外号：董子、广川；错：董中舒、董仲书)
118/司马迁/(谐音：死马迁；外号：子长、太史公；错：司马千、司马迂)
119/东方朔/(谐音：东方说；外号：曼倩、东方曼倩；错：东方塑、东方硕)
120/魏徵/(谐音：为征；外号：魏玄成、郑国公；错：魏征、魏微)
121/房玄龄/(谐音：防玄龄；外号：房乔、梁国公；错：房玄令、房玄玲)
122/杜如晦/(谐音：度如晦；外号：克明、莱国公；错：杜如海、杜如悔)
123/狄仁杰/(谐音：敌人杰；外号：狄怀英、梁国公；错：狄人杰、狄仁洁)
124/姚崇/(谐音：要崇；外号：姚元之、姚文献；错：姚重、姚虫)
125/宋璟/(谐音：送璟；外号：宋广平、宋文贞；错：宋景、宋井)
126/张九龄/(谐音：章九龄；外号：张子寿、曲江公；错：张久龄、张九林)
127/赵普/(谐音：照普；外号：赵则平；错：赵朴、赵谱)
128/寇准/(谐音：扣准；外号：寇平仲、寇莱公；错：寇淮、寇隼)
129/包拯/(谐音：包整；外号：包希仁、包青天、包龙图；错：包正、包振)
130/司马光/(谐音：死马光；外号：司马君实、涑水先生；错：司马广、司马洸)
131/文彦博/(谐音：闻彦博；外号：文宽夫、潞国公；错：文颜博、文彦搏)
132/富弼/(谐音：复弼；外号：富彦国、郑国公；错：富粥、富必)
133/韩琦/(谐音：含琦；外号：韩稚圭、魏国公；错：韩奇、韩琪)
134/李纲/(谐音：里纲；外号：李伯纪、梁溪先生；错：李钢、李刚)
135/宗泽/(谐音：总泽；外号：宗汝霖、宗忠简；错：宗则、宗折)
136/张居正/(谐音：章居正；外号：张叔大、太岳、江陵；错：张居政、张居中)
137/海瑞/(谐音：海瑞；外号：海汝贤、海刚峰、海青天；错：海端、海锐)
138/戚继光/(谐音：气继光；外号：戚元敬、南塘；错：戚继先、齐继光)
139/袁崇焕/(谐音：元崇焕；外号：袁元素、袁督师；错：袁崇换、袁崇环)
140/史可法/(谐音：使可法；外号：史宪之、史阁部；错：史可发、史克法)
141/郑成功/(谐音：正成功；外号：郑森、国姓爷、延平郡王；错：郑成攻、郑功成)
142/李延年/(谐音：里延年；外号：协律都尉；错：李延绵、李延年)
143/李龟年/(谐音：里龟年；外号：乐圣；错：李贵年、李归年)
144/念奴/(谐音：念奴；外号：念奴；错：念怒、恋奴)
145/谢阿蛮/(谐音：谢阿瞒；外号：谢阿蛮；错：谢阿曼、谢阿满)
146/公孙大娘/(谐音：公孙大娘；外号：公孙氏、剑器舞；错：公孙大狼、公孙大粮)
147/杨玉环/(谐音：阳玉环；外号：杨贵妃、太真、羞花；错：杨玉还、杨玉环)
148/赵飞燕/(谐音：照飞燕；外号：赵宜主、飞燕；错：赵飞艳、赵飞雁)
149/王昭君/(谐音：亡昭君；外号：王嫱、明妃、落雁；错：王昭军、王招君)
150/西施/(谐音：西施；外号：施夷光、沉鱼；错：西师、西诗)
151/貂蝉/(谐音：雕蝉；外号：闭月；错：貂禅、刁蝉)
152/绿珠/(谐音：绿猪；外号：梁绿珠；错：绿朱、禄珠)
153/虞姬/(谐音：鱼姬；外号：虞美人；错：虞鸡、于姬)
154/戚夫人/(谐音：气夫人；外号：戚姬；错：齐夫人、戚妇人)
155/班昭/(谐音：班找；外号：曹大家、班惠姬；错：班招、班召)
156/蔡文姬/(谐音：菜文姬；外号：蔡琰、昭姬、文姬；错：蔡文鸡、蔡文基)
157/卓文君/(谐音：捉文君；外号：文君、卓氏；错：卓文军、桌文君)
158/谢道韫/(谐音：谢道运；外号：谢道蕴、咏絮才；错：谢道温、谢道韵)
159/上官婉儿/(谐音：上官碗儿；外号：上官昭容、婉儿；错：上官婉尔、上官宛儿)
160/薛涛/(谐音：雪涛；外号：薛洪度、女校书；错：薛滔、薛桃)
161/鱼玄机/(谐音：余玄机；外号：鱼幼微、鱼蕙兰；错：鱼悬机、鱼玄鸡)
162/花蕊夫人/(谐音：花蕊夫人；外号：徐氏、花蕊夫人；错：花蕾夫人、花蕊妇人)
163/朱淑真/(谐音：猪淑真；外号：幽栖居士；错：朱淑贞、朱淑珍)
164/管道昇/(谐音：管道升；外号：管仲姬、魏国夫人；错：管道升、管道生)
165/柳如是/(谐音：留如是；外号：杨爱、河东君、蘼芜君；错：柳如事、柳如氏)
166/李香君/(谐音：里香君；外号：李香、香君；错：李香军、李相君)
167/董小宛/(谐音：懂小宛；外号：董白、青莲女史；错：董小碗、董小婉)
168/陈圆圆/(谐音：沉圆圆；外号：陈沅、邢沅；错：陈园园、陈源源)
169/顾横波/(谐音：故横波；外号：顾媚、眉生、横波夫人；错：顾横坡、顾红波)
170/卞玉京/(谐音：变玉京；外号：卞赛、玉京道人；错：卞玉金、卞玉经)
171/寇白门/(谐音：扣白门；外号：寇湄、白门；错：寇白们、寇百门)
172/马湘兰/(谐音：马湘蓝；外号：马守真、湘兰；错：马香兰、马相兰)
173/苏小小/(谐音：苏小小；外号：苏小小；错：苏小晓、苏小小)
174/李师师/(谐音：里师师；外号：李师师；错：李诗诗、李师狮)
175/贾宝玉/(谐音：假宝玉；外号：怡红公子、绛洞花王、无事忙；错：贾宝王、假宝玉)
176/林黛玉/(谐音：林待玉；外号：颦儿、潇湘妃子、林妹妹；错：林代玉、林黛月)
177/薛宝钗/(谐音：削宝钗；外号：宝姐姐、蘅芜君；错：薛宝叉、薛宝差)
178/王熙凤/(谐音：亡熙凤；外号：凤辣子、琏二奶奶；错：王熙风、王希凤)
179/史湘云/(谐音：使湘云；外号：枕霞旧友、云妹妹；错：史相云、史香云)
180/贾探春/(谐音：假探春；外号：蕉下客、三姑娘；错：贾探村、贾叹春)
181/妙玉/(谐音：喵玉；外号：槛外人；错：庙玉、妙王)
182/贾迎春/(谐音：假迎春；外号：二木头、二姑娘；错：贾迎村、贾盈春)
183/贾惜春/(谐音：假惜春；外号：藕榭、四姑娘；错：贾西春、贾希春)
184/李纨/(谐音：里纨；外号：稻香老农、宫裁；错：李丸、李执)
185/秦可卿/(谐音：勤可卿；外号：可儿、蓉大奶奶；错：秦可清、秦可亲)
186/贾巧姐/(谐音：假巧姐；外号：巧姐；错：贾巧解、贾桥姐)
187/贾母/(谐音：假母；外号：史太君、老祖宗；错：贾姆、假母)
188/贾政/(谐音：假政；外号：存周、政老爹；错：贾正、贾证)
189/贾赦/(谐音：假赦；外号：恩侯、大老爷；错：贾郝、贾色)
190/贾琏/(谐音：假琏；外号：琏二爷；错：贾连、贾莲)
191/贾珍/(谐音：假珍；外号：珍大爷；错：贾真、贾诊)
192/贾蓉/(谐音：假蓉；外号：蓉哥儿；错：贾荣、贾容)
193/贾雨村/(谐音：假语村；外号：贾化、时飞、雨村；错：贾雨春、贾宇村)
194/甄士隐/(谐音：真事隐；外号：甄费、士隐；错：甄土隐、甄仕隐)
195/孙悟空/(谐音：孙勿空；外号：齐天大圣、美猴王、孙行者、斗战胜佛；错：孙悟孔、孙吾空)
196/猪八戒/(谐音：朱八戒；外号：天蓬元帅、猪悟能、八戒；错：朱八戒、猪八界)
197/沙僧/(谐音：杀僧；外号：沙悟净、卷帘大将；错：沙曾、沙生)
198/唐僧/(谐音：糖僧；外号：玄奘、唐三藏、江流儿；错：唐曾、唐憎)
199/白龙马/(谐音：白龙骂；外号：敖烈、玉龙三太子；错：白龙码、白隆马)
200/诸葛亮/(谐音：诸哥亮；外号：孔明、卧龙、武乡侯、诸葛武侯；错：诸歌亮、朱葛亮)
201/刘备/(谐音：流备；外号：玄德、刘皇叔、昭烈帝；错：刘倍、刘贝)
202/关羽/(谐音：观羽；外号：云长、关公、美髯公、武圣；错：关雨、关宇)
203/张飞/(谐音：章飞；外号：翼德、燕人张飞；错：张非、张菲)
204/赵云/(谐音：照云；外号：子龙、常山赵子龙；错：赵芸、赵允)
205/曹操/(谐音：曹槽；外号：孟德、阿瞒、魏武帝；错：曹超、曹糟)
206/周瑜/(谐音：粥瑜；外号：公瑾、周郎；错：周渝、周俞)
207/吕布/(谐音：铝布；外号：奉先、吕温侯；错：吕布、旅布)
208/宋江/(谐音：送江；外号：及时雨、呼保义、宋公明；错：宋姜、宋将)
209/林冲/(谐音：临冲；外号：豹子头、林教头；错：林充、林虫)
210/武松/(谐音：无松；外号：行者、武二郎；错：武淞、吴松)
211/鲁智深/(谐音：卤智深；外号：花和尚、鲁达；错：鲁志深、鲁智申)
212/李逵/(谐音：里逵；外号：黑旋风、铁牛；错：李葵、李魁)
213/吴用/(谐音：无用；外号：智多星、吴学究；错：吴勇、无用)
214/卢俊义/(谐音：炉俊义；外号：玉麒麟、卢员外；错：卢俊仪、卢俊意)
215/公孙胜/(谐音：公岁胜；外号：入云龙、一清先生；错：公孙盛、公孙圣)
216/花荣/(谐音：花绒；外号：小李广；错：花容、华荣)
217/柴进/(谐音：柴尽；外号：小旋风、柴大官人；错：柴近、柴劲)
218/燕青/(谐音：眼青；外号：浪子、浪子燕青；错：燕清、闫青)
219/方腊/(谐音：放蜡；外号：方十三；错：方拉、方辣)
220/王羲之/(谐音：王西之；外号：书圣、王右军、逸少；错：王曦之、王羲子)
221/王献之/(谐音：王县之；外号：王大令、子敬；错：王献子、王现之)
222/颜真卿/(谐音：言真卿；外号：颜鲁公、颜平原；错：颜真清、闫真卿)
223/柳公权/(谐音：流公权；外号：柳诚悬、柳少师；错：柳公全、柳公泉)
224/欧阳询/(谐音：欧阳巡；外号：欧阳信本、率更令；错：欧阳旬、欧阳寻)
225/褚遂良/(谐音：楚遂良；外号：褚登善、褚河南；错：褚逐良、楚遂良)
226/虞世南/(谐音：鱼世南；外号：虞伯施、永兴公；错：虞世男、于世南)
227/张旭/(谐音：章旭；外号：张伯高、草圣；错：张许、张续)
228/怀素/(谐音：坏素；外号：藏真、零陵僧；错：淮素、怀苏)
229/吴道子/(谐音：无道子；外号：画圣、吴生；错：吴到子、吴道紫)
230/顾恺之/(谐音：故恺之；外号：顾长康、虎头；错：顾凯之、顾恺子)
231/阎立本/(谐音：言立本；外号：阎立德弟；错：闫立本、阎力本)
232/米芾/(谐音：米福；外号：米元章、襄阳漫士、海岳外史；错：米沛、米市)
233/蔡襄/(谐音：菜襄；外号：蔡君谟、蔡端明；错：蔡香、蔡相)
234/赵孟頫/(谐音：照孟頫；外号：赵子昂、松雪道人；错：赵孟俯、赵孟频)
235/董其昌/(谐音：懂其昌；外号：董玄宰、思白；错：董启昌、董其仓)
1/菅纫姿/(叫错“管韧姿”、被调侃“拼音女星”、误读“guǎn”)
2/啜妮/(叫错“搓泥儿”“踹你”、被问“这演员姓啥”)
3/宋轶/(叫错“宋铁”“宋秩”“宋轨”“宋轩”)
4/张钧甯/(叫错“张钧mì”、被读作“mì”、生僻字“𡩋”导致输入法打不出)
5/鞠婧祎/(名字中的“祎”常被读错、被调侃“始于颜值，止于名字”)
6/佘诗曼/(叫错“余诗曼”)
7/阚清子/(叫错“敢清子”)
8/何翯/(叫错“呵呵”“高”“羽”)
9/逯恣祯/(名字常被跳过、直接被喊“那个穿绿衣服的”)
10/斓曦/(原名张凡改名后名字复杂被吐槽)
11/李春嫒/(叫错“李春媛”)
12/李莎旻子/(叫错“李莎敏子”“李莎文子”)
13/何炅/(叫错“何灵”)
14/张艺兴/(打错“孙艺兴”、被喊“孙艺兴”)
15/易烊千玺/(打错“易洋千玺”)
16/白百何/(打错“白百合”)
17/马伊琍/(名字常被写错)
18/郑恺/(名字常被打错)
19/翟天临/(名字常被打错、被“改姓”)
20/潘玮柏/(打错“潘伟柏”“潘韦柏”)
21/赵丽颖/(叫错“靓颖”)
22/迪丽热巴/(叫错“娜扎”)
23/罗志祥/(叫错“吴克群”)
24/黄渤/(被认成王宝强、签名签了王宝强的名字)
25/靳东/(叫错“勒东”)
26/张若昀/(叫错“张若jun”)
27/陈冠希/(被何炅叫错名字)
28/倪妮/(被何炅叫成“闫妮”)
29/应采儿/(叫错“容祖儿”)
30/张学友/(被粉丝喊“刘德华”)
31/李冰冰/(被蔡康永叫成“白冰冰”)
32/陈坤/(被喊“杨坤”)
33/赵今麦/(谐音外号“今麦郎”)
34/檀健次/(谐音外号“刚子哥”)
35/陈伟霆/(角色名谐音外号“好命哥”)
36/吴添豪/(谐音外号“五条”)
37/张凌赫/(谐音外号“0帝”)
38/陈添祥/(外号“陈十七”)
39/曾辉/(外号“宝总”)
40/姚冠宇/(外号“取悦哥”)
41/赵振栋/(外号“赵公子”“红温哥”“没牙老太太”)
42/林正英/(外号“九叔”)
43/古天乐/(外号“古校长”)
44/张国荣/(外号“哥哥”)
45/周杰伦/(外号“周董”)
46/周星驰/(外号“星爷”)
47/周润发/(外号“发哥”)
48/刘德华/(外号“华仔”)
49/吴孟达/(外号“达叔”)
50/孙俪/(外号“娘娘”)
51/成奎安/(外号“大傻”)
52/张铁林/(外号“皇阿玛”)
53/刘若英/(外号“奶茶”)
54/邓超/(外号“混世魔王”“大黑牛”)
55/黄晓明/(外号“教主”)
56/陈坤/(外号“厂花”)
57/钟汉良/(外号“小哇”)
58/朱一龙/(外号“居老师”)
59/吴彦祖/(英文名谐音外号“蛋妞”)
60/靳东/(外号“鞋东”)
61/杨紫/(本名“杨旎奥”难记)
62/陶大宇/(将郭可盈角色英文名Jessie读成“车匙”)
63/江𤒹生/(颁奖礼上被叫成“江毕生”)
64/克里斯·伊文思/(外号“桃总”“美队”“猕猴桃”)
65/本尼迪克·康伯巴奇/(外号“卷福”“缺爷”“潮爷”)
66/汤姆·希德勒斯顿/(外号“抖森”、因英文发音错误导致译名偏差)
67/莱昂纳多·迪卡普里奥/(外号“小李子”、被叫“李奥纳多皮卡丘”)
68/瑞恩·高斯林/(外号“高司令”)
69/凯蒂·佩里/(外号“水果姐”)
70/泰勒·斯威夫特/(外号“霉霉”)
71/汤姆·赫兰德/(外号“荷兰弟”)
72/蒂莫西·柴勒梅德/(外号“甜茶”)
73/詹妮弗·劳伦斯/(外号“大表姐”)
74/丹·史蒂文斯/(外号“大表哥”)
75/迈克尔·B·乔丹/(外号“面包机”、姓名首字母MBJ输入法弹出)
76/黛西·雷德利/(外号“菊总”)
77/丹尼尔·戴-刘易斯/(外号“刘皇叔”)
78/汤姆·克鲁斯/(外号“阿汤哥”、港译“汤·告鲁斯”)
79/汤姆·汉克斯/(港译“汤·汉斯”)
80/小罗伯特·唐尼/(港译“罗拔·唐尼”)
81/斯嘉丽·约翰逊/(台译“史嘉蕾·乔韩森”)
82/艾梅伯·希尔德/(被评价为最离谱的中文译名错误之一)
83/秀兰·邓波儿/(长期译名错误，Shirley正确发音应为“雪莉”)
84/奥黛丽·赫本/(港译“柯德莉夏萍”与国语译名差异巨大)
85/杰昆·菲尼克斯/(被叫错“乔昆”，另一译名“华金”)
86/马修·麦康纳/(中文译名漏掉一个音节，持续二十余年)
87/克里斯·普瑞特/(因“克里斯”太多被叫成“美国队长”)
88/Lady Gaga/(外号“鳖鳖”)
89/凯特·温斯莱特/(外号“肥温”)
90/乔纳森·格罗夫/(外号“甜乔”)
91/贾斯汀·汀布莱克/(外号“贾老板”)
92/埃德·希兰/(外号“黄老板”)
93/特洛耶·希文/(外号“戳爷”)
94/蒂尔达·斯文顿/(外号“女王”)
